DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             1.783               2.714            -0.931         5.480
RESSURF            6.201               7.118            -0.918         5.594
SOLIN            342.177             342.177             0.000         0.000
AAM            1.431e+26           1.457e+26        -2.562e+24      -999.000
CHI_200            0.008               0.015            -0.007         0.462
CLDHGH            28.522              28.418             0.104         2.352
CLDLOW            32.793              32.679             0.114         1.748
CLDMED            15.886              15.814             0.072         1.708
CLDTOT            50.403              50.271             0.133         2.116
EKE_850           27.796              27.644             0.152         2.053
EP            -3.710e-02          -3.681e-02        -2.956e-04         0.437
FLNS              59.719              59.195             0.525         1.962
FLNSC             82.675              81.963             0.712         1.526
FLNT             233.987             234.591            -0.604         2.848
FLNTC            262.656             263.151            -0.495         1.191
FSDS             186.792             186.193             0.599         4.462
FSDSC            249.492             249.087             0.405         1.126
FSNS             161.643             163.084            -1.441         6.131
FSNSC            217.678             219.819            -2.141         8.131
FSNSC_ICE         46.255              45.410             0.845         4.169
FSNSC_LAND       166.341             166.216             0.125         1.077
FSNT             235.769             237.305            -1.535         5.775
FSNTC            287.845             290.077            -2.232         7.749
ICEAREA           24.175              23.873             0.302         0.040
LHFLX             79.639              80.680            -1.042         5.101
LWCF              28.669              28.560             0.109         2.267
PRECT              2.770               2.806            -0.035         0.421
PRECT_LAND         2.435               2.454            -0.019         0.349
PRECT_OCEAN        3.013               3.055            -0.042         0.462
PREH2O            25.838              26.475            -0.637         1.076
PREH2O_OCEAN      29.823              30.544            -0.721         1.192
PSI_200           -0.043              -0.043            -0.000         0.151
PS               985.419             985.482            -0.063         0.681
PSL             1011.113            1011.162            -0.048         0.697
QFLX               2.733               2.769            -0.036         0.151
SHFLX             16.084              16.091            -0.007         1.862
SNOWHLND          10.422              10.506            -0.084         1.318
SST               20.193              20.534            -0.341         0.467
STRESS_MAG         0.070               0.069             0.000         0.008
SWCF             -52.076             -52.773             0.697         4.378
T_850            281.777             282.062            -0.286         0.500
TGCLDLWP         135.048             135.845            -0.797        12.106
TGCLDIWP          17.311              17.195             0.116         1.721
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.846             288.098            -0.252         0.514
TS               288.537             288.797            -0.260         0.538
TS_LAND          282.994             283.139            -0.145         0.633
U_200             15.555              15.733            -0.178         1.269
VT_850             0.057               0.035             0.021         0.829
Z3_500            56.735              56.802            -0.068         0.119
