DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2020-2029)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            29.487              29.553            -0.065         3.378
RESSURF           -2.879              -2.408            -0.471         5.188
SOLIN            389.195             389.195             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.515              -0.471            -0.044         0.591
CLDHGH            34.813              35.061            -0.247         3.021
CLDLOW            31.847              31.503             0.344         1.982
CLDMED            16.684              16.802            -0.118         2.134
CLDTOT            54.029              54.028             0.001         2.495
EKE_850           10.237              10.558            -0.321         1.282
EP             1.104e-01           4.732e-02         6.306e-02         0.763
FLNS              51.128              50.419             0.709         1.856
FLNSC             67.898              66.798             1.100         1.702
FLNT             246.104             246.201            -0.098         3.942
FLNTC            283.939             284.304            -0.364         1.081
FSDS             198.948             198.675             0.273         5.414
FSDSC            276.272             275.591             0.681         1.012
FSNS             184.455             184.188             0.268         5.020
FSNSC            256.956             256.316             0.640         0.941
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       231.905             231.193             0.712         1.114
FSNT             275.591             275.754            -0.163         4.756
FSNTC            344.485             344.415             0.071         0.302
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            119.110             119.419            -0.309         5.992
LWCF              37.836              38.103            -0.267         3.353
PRECT              3.990               4.072            -0.082         0.724
PRECT_LAND         3.463               3.466            -0.003         0.468
PRECT_OCEAN        4.147               4.254            -0.107         0.788
PREH2O            42.985              44.038            -1.053         1.442
PREH2O_OCEAN      44.568              45.672            -1.104         1.515
PSI_200           -3.056              -2.957            -0.099         0.170
PS               997.293             997.494            -0.202         0.317
PSL             1012.043            1012.242            -0.199         0.318
QFLX               4.100               4.119            -0.019         0.148
SHFLX             17.097              16.758             0.339         1.856
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.130              27.443            -0.312         0.396
STRESS_MAG         0.071               0.071             0.000         0.006
SWCF             -68.894             -68.660            -0.234         4.865
T_850            290.195             290.529            -0.334         0.392
TGCLDLWP         146.371             147.022            -0.651        16.139
TGCLDIWP          11.722              11.755            -0.033         1.524
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.900             299.237            -0.337         0.406
TS               299.812             300.129            -0.316         0.401
TS_LAND          298.151             298.489            -0.338         0.428
U_200              0.658               1.325            -0.666         1.239
VT_850             3.021               2.913             0.107         0.611
Z3_500            58.757              58.841            -0.084         0.085
